"Time Stamp","V_Local(cm3)","V_Remote(cm3)","V_Union(cm3)","V_Intersection(cm3)","Intersection (%)"
10:03:28:851","8.644073","8.646553","8.644073","8.646553","100.0"
10:03:33:481","8.74461","8.74396","8.74461","8.74396","100.0"
10:03:37:111","8.919844","8.919807","8.919844","8.919807","100.0"
10:03:40:734","6.402542","6.402542","6.402542","6.402542","100.0"
10:03:43:324","14.66741","14.66864","14.66741","14.66864","100.0"
10:03:46:419","4.314251","4.31427","4.314251","4.31427","100.0"
10:03:49:020","5.434102","5.435955","5.434102","5.435955","100.0"
10:03:51:620","7.953436","7.953476","7.953436","7.953476","100.0"
10:03:54:187","10.29746","10.29856","10.29746","10.29856","100.0"
10:03:56:775","13.21006","13.21013","13.21006","13.21013","100.0"
10:03:59:879","4.239139","4.237522","4.239139","4.237522","100.0"
10:04:03:464","10.64728","10.64726","10.64728","10.64726","100.0"
10:04:06:504","8.021091","8.020506","8.021091","8.020506","100.0"
10:04:09:574","17.80068","17.80439","17.80068","17.80439","100.0"
10:04:12:690","10.76318","10.76263","10.76318","10.76263","100.0"
10:04:15:302","10.09803","10.10794","10.09803","10.10794","100.1"
10:04:19:925","7.446852","7.454306","7.446852","7.454306","100.1"
10:04:24:000","8.487464","8.484963","8.487464","8.484963","100.0"
