"Task Start Time","Task End Time","Delta Time"
10:03:25:357","10:03:28:440","00:00:03.0831845"
10:03:30:709","10:03:33:228","00:00:02.5181236"
10:03:33:888","10:03:36:783","00:00:02.8950135"
10:03:37:516","10:03:40:288","00:00:02.7715716"
10:03:40:851","10:03:43:071","00:00:02.2197015"
10:03:43:720","10:03:45:926","00:00:02.2060447"
10:03:46:578","10:03:48:916","00:00:02.3381015"
10:03:49:651","10:03:51:468","00:00:01.8165307"
10:03:51:985","10:03:53:954","00:00:01.9692907"
10:03:54:431","10:03:56:687","00:00:02.2556590"
10:03:57:587","10:03:59:684","00:00:02.0970295"
10:04:00:319","10:04:03:237","00:00:02.9184515"
10:04:03:961","10:04:06:182","00:00:02.2205055"
10:04:06:738","10:04:09:096","00:00:02.3579733"
10:04:10:230","10:04:12:330","00:00:02.1006837"
10:04:12:918","10:04:15:270","00:00:02.3521882"
10:04:16:789","10:04:19:581","00:00:02.7914911"
10:04:21:586","10:04:23:899","00:00:02.3126941"
