"Task Start Time","Task End Time","Delta Time"
18:47:18:759","18:47:44:388","00:00:25.6290338"
18:47:47:708","18:47:53:779","00:00:06.0713661"
18:47:55:995","18:48:01:689","00:00:05.6936483"
18:48:03:683","18:48:07:380","00:00:03.6974632"
18:48:08:817","18:48:14:735","00:00:05.9182837"
18:48:16:062","18:48:21:632","00:00:05.5697978"
18:48:23:342","18:48:30:647","00:00:07.3050076"
18:48:32:644","18:48:42:283","00:00:09.6387299"
18:48:44:062","18:48:50:859","00:00:06.7976804"
18:48:53:084","18:48:59:459","00:00:06.3745958"
18:49:00:899","18:49:07:038","00:00:06.1387993"
18:49:08:432","18:49:23:402","00:00:14.9697819"
18:49:26:956","18:49:32:733","00:00:05.7767963"
18:49:34:761","18:49:47:639","00:00:12.8778628"
18:49:55:923","18:50:23:915","00:00:27.9922637"
18:50:26:358","18:50:32:431","00:00:06.0730260"
